symbol1,symbol2,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
CD69,ISG15,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0009897, GO:0032991, GO:0005515, GO:0030246, GO:0004888, GO:0035690, GO:0005509, GO:0005887, GO:0042803, GO:0007165","GO:0006974, GO:0032649, GO:0051607, GO:0005515, GO:0032480, GO:0045648, GO:0019985, GO:0005829, GO:0006281, GO:0019941, GO:0045071, GO:0034340, GO:0005654, GO:0005576, GO:0042742, GO:0016032, GO:0031397, GO:0060337, GO:0030501, GO:0031386, GO:0032020"
LDLR,NABP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0046718, GO:0009897, GO:0016020, GO:0030229, GO:0051246, GO:0007616, GO:0001618, GO:0015914, GO:0071398, GO:0030301, GO:0061771, GO:0061024, GO:0010629, GO:0010628, GO:0005905, GO:1905167, GO:0042159, GO:0010867, GO:0010008, GO:0045177, GO:0050729, GO:0001540, GO:0061889, GO:0034381, GO:0036020, GO:0005770, GO:0030669, GO:0005509, GO:0002020, GO:1900223, GO:0010899, GO:0030169, GO:0042802, GO:0005794, GO:0034362, GO:0006629, GO:0009986, GO:0032050, GO:0051248, GO:0016323, GO:0030299, GO:1990666, GO:1903979, GO:0036477, GO:0005887, GO:0005886, GO:0042632, GO:0090181, GO:0008203, GO:0097242, GO:0043235, GO:0006897, GO:0034382, GO:0034383, GO:0071404, GO:0006898, GO:0005041, GO:0090118, GO:0005622, GO:0005764, GO:0070508, GO:1905907, GO:0005515, GO:0010986, GO:0097443, GO:0045807, GO:0005769","GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784"
BTG2,FKBP5,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0005737, GO:0000413, GO:0006457, GO:0003755, GO:0031072, GO:0005829, GO:0016020, GO:0005654, GO:0005528, GO:0005515, GO:0061077, GO:0070062"
ELL2,GADD45A,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0008023, GO:0005654, GO:0006355, GO:0005515, GO:0006368, GO:0042795","GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982"
CDH1,PADI2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0007416, GO:0035635, GO:0015629, GO:0034332, GO:0016339, GO:0032794, GO:0009898, GO:0007043, GO:0051301, GO:0031175, GO:0021983, GO:0007275, GO:0022408, GO:0072425, GO:0000902, GO:0050839, GO:0040020, GO:0070062, GO:0016600, GO:0070979, GO:0097027, GO:0016021, GO:0009636, GO:0005654, GO:0098609, GO:0030198, GO:0005509, GO:1904668, GO:0048471, GO:0042802, GO:0042803, GO:0008284, GO:0005737, GO:0016328, GO:0006281, GO:0030027, GO:0070306, GO:0009986, GO:0031965, GO:0048699, GO:0008013, GO:0006974, GO:0072659, GO:0005913, GO:0045893, GO:0005886, GO:0042307, GO:0044331, GO:0007156, GO:0030506, GO:0010997, GO:0071681, GO:0007049, GO:0031145, GO:0071285, GO:0008092, GO:0043296, GO:0030054, GO:0005802, GO:0016342, GO:0045295, GO:0045296, GO:0030864, GO:0045732, GO:0005576, GO:0005515, GO:0090344, GO:0005768, GO:0005829, GO:0005680","GO:0005737, GO:0036413, GO:1990830, GO:0030520, GO:0030331, GO:0018101, GO:0005829, GO:0048096, GO:0036414, GO:0043312, GO:0035578, GO:0005576, GO:0021762, GO:0005509, GO:1901624, GO:0070100, GO:0035327, GO:0010848, GO:0005634, GO:0004668, GO:0070062"
GADD45A,SLCO2A1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0005319, GO:0006869, GO:0015732, GO:0015132, GO:0016020, GO:0015347, GO:0005887, GO:0005886, GO:0043252, GO:0055085"
NABP1,TRIB1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0032436, GO:0014912, GO:0043405, GO:0032496, GO:0055106, GO:0005737, GO:0007254, GO:0031434, GO:0005634, GO:0004672, GO:0005524, GO:0006468, GO:0006469, GO:0048662, GO:0008134, GO:0004860, GO:0043433, GO:0045659, GO:0031625, GO:0045651, GO:0031665, GO:0005515, GO:0045645"
BTG2,EFNA1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0034446, GO:0061002, GO:0050821, GO:0046658, GO:0007411, GO:0043409, GO:0000122, GO:0045765, GO:0033628, GO:0061098, GO:0016477, GO:0046875, GO:0003180, GO:0003199, GO:1903051, GO:0043410, GO:0043535, GO:0005886, GO:0007267, GO:0048013, GO:1902004, GO:0070244, GO:0050770, GO:0010719, GO:0050731, GO:0014028, GO:0005576, GO:0003183, GO:0005515, GO:0050730, GO:1902961, GO:0005102, GO:0001934"
IL32,NABP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0005125, GO:0005615, GO:0005829, GO:0016020, GO:0006952, GO:0005515, GO:0006955, GO:0007155, GO:0010469, GO:0019221","GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784"
BTG2,FOSL2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0003700, GO:0048146, GO:0005634, GO:0003334, GO:0001228, GO:0005654, GO:0006357, GO:0045944, GO:0000977, GO:0005515, GO:0006366, GO:0000978, GO:0008219, GO:0003682, GO:0000982, GO:0000981"
