"genes"	"modules"
"1"	"MT.CO1"	"M1"
"2"	"FLNA"	"M2"
"3"	"MYH11"	"M2"
"4"	"MT.ATP8"	"M1"
"5"	"ACTB"	"M2"
"6"	"DES"	"M2"
"7"	"MT.ND3"	"M2"
"8"	"TAGLN"	"M2"
"9"	"KLK3"	"M1"
"10"	"MT.ND4L"	"M1"
"11"	"ACTA2"	"M2"
"12"	"KLK2"	"M1"
"13"	"ACTG2"	"M2"
"14"	"MYL9"	"M2"
"15"	"PCSK7"	"M2"
"16"	"A2M"	"M1"
"17"	"TPM2"	"M2"
"18"	"CSRP1"	"M2"
"19"	"MGP"	"M1"
"20"	"ACP3"	"M1"
"21"	"MT.ND6"	"M1"
"22"	"TPM1"	"M2"
"23"	"COL1A2"	"M5"
"24"	"MYLK"	"M2"
"25"	"SYNPO2"	"M2"
"26"	"LTBP4"	"M5"
"27"	"FN1"	"M2"
"28"	"FBLN1"	"M5"
"29"	"NR4A1"	"M1"
"30"	"DCN"	"M5"
"31"	"NDRG1"	"M1"
"32"	"MSMB"	"M1"
"33"	"COL4A2"	"M2"
"34"	"CKB"	"M1"
"35"	"CLU"	"M1"
"36"	"VMP1"	"M4"
"37"	"SMTN"	"M2"
"38"	"CNN1"	"M2"
"39"	"C1R"	"M1"
"40"	"AZGP1"	"M1"
"41"	"COL3A1"	"M5"
"42"	"TGM2"	"M4"
"43"	"GPX3"	"M1"
"44"	"PALLD"	"M2"
"45"	"LMOD1"	"M2"
"46"	"PPP1R12B"	"M2"
"47"	"SORBS1"	"M2"
"48"	"VEGFA"	"M1"
"49"	"FHL1"	"M2"
"50"	"COL6A3"	"M1"
"51"	"FASN"	"M1"
"52"	"TSC22D3"	"M1"
"53"	"SYNM"	"M2"
"54"	"TIMP2"	"M5"
"55"	"COL7A1"	"M3"
"56"	"AMD1"	"M1"
"57"	"SERPING1"	"M5"
"58"	"PDLIM7"	"M2"
"59"	"FLNC"	"M2"
"60"	"ITGA5"	"M2"
"61"	"C1S"	"M5"
"62"	"VCL"	"M2"
"63"	"STEAP2"	"M1"
"64"	"ZFP36"	"M4"
"65"	"PTGDS"	"M1"
"66"	"HSPA1A"	"M2"
"67"	"THBS1"	"M4"
"68"	"GSTM2"	"M4"
"69"	"BGN"	"M5"
"70"	"HSPA1B"	"M2"
"71"	"APOD"	"M5"
"72"	"ADAM33"	"M1"
"73"	"C7"	"M5"
"74"	"SVIL"	"M2"
"75"	"COL4A1"	"M2"
"76"	"PDLIM5"	"M1"
"77"	"XBP1"	"M1"
"78"	"PLPP1"	"M1"
"79"	"TMPRSS2"	"M1"
"80"	"TIMP1"	"M4"
"81"	"HERPUD1"	"M1"
"82"	"ADAMTS1"	"M4"
"83"	"PDK4"	"M2"
"84"	"CPE"	"M1"
"85"	"PER1"	"M1"
"86"	"SPEG"	"M2"
"87"	"MLPH"	"M1"
"88"	"NDE1"	"M2"
"89"	"RDH11"	"M1"
"90"	"PRELP"	"M2"
"91"	"HSPB6"	"M5"
"92"	"BTG2"	"M1"
"93"	"FOS"	"M1"
"94"	"MMP2"	"M5"
"95"	"ITGA1"	"M2"
"96"	"SERPINA3"	"M4"
"97"	"BHLHE40"	"M4"
"98"	"AQP1"	"M1"
"99"	"KRT15"	"M3"
"100"	"FKBP5"	"M1"
"101"	"CEBPD"	"M4"
"102"	"X.242"	"M4"
"103"	"NAMPT"	"M4"
"104"	"JUNB"	"M4"
"105"	"VWF"	"M6"
"106"	"NKX3.1"	"M1"
"107"	"MCAM"	"M2"
"108"	"SLC45A3"	"M1"
"109"	"SORD"	"M1"
"110"	"GABRE"	"M3"
"111"	"ELN"	"M5"
"112"	"LUM"	"M5"
"113"	"MT2A"	"M1"
"114"	"MFAP4"	"M5"
"115"	"RGS2"	"M2"
"116"	"MAP1B"	"M2"
"117"	"CCN1"	"M1"
"118"	"CACNA1H"	"M2"
"119"	"PGM5"	"M2"
"120"	"CRYAB"	"M3"
"121"	"BCL6"	"M4"
"122"	"STAB1"	"M6"
"123"	"CCN2"	"M2"
"124"	"KRT8"	"M3"
"125"	"DHCR24"	"M1"
"126"	"PMEPA1"	"M1"
"127"	"KRT5"	"M3"
"128"	"NEDD4L"	"M1"
"129"	"FBXO32"	"M2"
"130"	"ELL2"	"M1"
"131"	"FAM107A"	"M1"
"132"	"TNC"	"M2"
"133"	"KLK4"	"M1"
"134"	"GREB1"	"M1"
"135"	"TBC1D8"	"M1"
"136"	"IRAG1"	"M2"
"137"	"PRUNE2"	"M2"
"138"	"MAOA"	"M1"
"139"	"ITGA7"	"M3"
"140"	"STEAP4"	"M4"
"141"	"DDIT4"	"M1"
"142"	"ELK4"	"M1"
"143"	"SBNO2"	"M4"
"144"	"MATN2"	"M5"
"145"	"LCP1"	"M1"
"146"	"NIBAN1"	"M2"
"147"	"TNFAIP2"	"M4"
"148"	"SGK1"	"M1"
"149"	"IGFBP6"	"M1"
"150"	"EGR1"	"M1"
"151"	"KIAA1522"	"M3"
"152"	"UNC13B"	"M1"
"153"	"DHRS7"	"M1"
"154"	"HSPB8"	"M2"
"155"	"DMXL1"	"M1"
"156"	"FXYD3"	"M1"
"157"	"PDLIM3"	"M2"
"158"	"TUBA1A"	"M2"
"159"	"NID1"	"M2"
"160"	"SHROOM1"	"M3"
"161"	"ERRFI1"	"M4"
"162"	"KRT18"	"M3"
"163"	"SORBS2"	"M2"
"164"	"SPON2"	"M1"
"165"	"CCDC80"	"M5"
"166"	"NEFH"	"M1"
"167"	"CFD"	"M5"
"168"	"PTP4A1"	"M1"
"169"	"ARRDC3"	"M4"
"170"	"CDC42EP3"	"M2"
"171"	"SYTL1"	"M3"
"172"	"IGFBP3"	"M5"
"173"	"SLC44A4"	"M1"
"174"	"CGNL1"	"M5"
"175"	"TCIM"	"M2"
"176"	"SPINT2"	"M3"
"177"	"PODN"	"M5"
"178"	"PI15"	"M3"
"179"	"MSRB3"	"M2"
"180"	"FAM111A"	"M1"
"181"	"C12orf60"	"M1"
"182"	"SLCO2A1"	"M1"
"183"	"DSP"	"M3"
"184"	"MALT1"	"M1"
"185"	"ITPR1"	"M2"
"186"	"CHRDL1"	"M2"
"187"	"LAMA4"	"M2"
"188"	"CPAMD8"	"M1"
"189"	"EFEMP1"	"M5"
"190"	"MPZL2"	"M3"
"191"	"MYADM"	"M2"
"192"	"PDE5A"	"M2"
"193"	"TGFB3"	"M5"
"194"	"FADS2"	"M1"
"195"	"GATA2"	"M1"
"196"	"KRT19"	"M3"
"197"	"MEGF6"	"M3"
"198"	"SOCS2"	"M1"
"199"	"C3"	"M1"
"200"	"MYBPC1"	"M1"
"201"	"CPLX3"	"M1"
"202"	"SULF1"	"M2"
"203"	"TRPM4"	"M1"
"204"	"HES1"	"M3"
"205"	"OBSCN"	"M1"
"206"	"SELENBP1"	"M4"
"207"	"TRIM29"	"M3"
"208"	"SLC39A6"	"M1"
"209"	"KIAA1217"	"M3"
"210"	"PLA2G2A"	"M1"
"211"	"H2BC21"	"M3"
"212"	"KRT17"	"M3"
"213"	"CAV1"	"M2"
"214"	"TGFB1I1"	"M2"
"215"	"LPAR6"	"M2"
"216"	"IDH1"	"M1"
"217"	"COL14A1"	"M5"
"218"	"OSMR"	"M4"
"219"	"ELF3"	"M3"
"220"	"CDKN1A"	"M4"
"221"	"ANO7"	"M1"
