,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
0,Q13472,Q96E14,TOP3A,RMI2,"affinity chromatography technology, anti tag coimmunoprecipitation","20826341, 20826342, 26186194, 28514442",4,"biogrid, dip, intact",exp,"GO:0016605, GO:0051321, GO:0005634, GO:0005654, GO:0006265, GO:0003917, GO:0003916, GO:0006260, GO:0008270, GO:0005515, GO:0003677, GO:0005694","GO:0016607, GO:0033045, GO:2000042, GO:0006281, GO:0005829, GO:0005654, GO:0006974, GO:0006260, GO:0003677, GO:0005634"
2,P40692,Q8NA61,MLH1,SPERT,"barcode fusion genetics two hybrid, two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 25910212, 27107012",4,"biogrid, intact, mint",exp,"GO:0032389, GO:0045190, GO:0006298, GO:0016887, GO:0007060, GO:0048304, GO:0006303, GO:0000289, GO:0005715, GO:0005634, GO:0016020, GO:0007129, GO:0005712, GO:0005654, GO:0043060, GO:0045950, GO:0032137, GO:0048477, GO:0003697, GO:0005524, GO:0048298, GO:0006281, GO:0016321, GO:0006974, GO:0007283, GO:0000795, GO:0045141, GO:0001673, GO:0008630, GO:0000712, GO:0032407, GO:0051257, GO:0032300, GO:0005515, GO:0003682, GO:0016446","GO:0005737, GO:0036064, GO:0060271, GO:0031410, GO:0005814, GO:1905349, GO:0005515, GO:0030178"
3,P13726,Q8NB91,F3,FANCB,-,"11307801, 11601848, 8609606, 9480775",4,hprd,exp,"GO:0004252, GO:0007598, GO:0007596, GO:0050927, GO:0010641, GO:0019221, GO:0005615, GO:0051897, GO:0016021, GO:0005543, GO:0045766, GO:0002020, GO:0004896, GO:0030335, GO:0006919, GO:0009986, GO:0062023, GO:0005886, GO:0016485, GO:0031233, GO:1905286, GO:0002541, GO:0002543, GO:0001938, GO:0005515","GO:1905168, GO:0005654, GO:2000042, GO:0006281, GO:0036297, GO:0006974, GO:0005515, GO:1990414, GO:0043240"
4,O75771,Q9Y2J4,RAD51D,AMOTL2,"two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 25910212",3,"biogrid, intact, mint",exp,"GO:0033063, GO:0000781, GO:0000784, GO:0003677, GO:0000723, GO:0000724, GO:0005813, GO:0005634, GO:0000707, GO:0005654, GO:0005657, GO:0003697, GO:0005524, GO:0005737, GO:0006281, GO:0006289, GO:0006974, GO:0042148, GO:0007131, GO:0008094, GO:0000400, GO:0051726, GO:0036297, GO:0005515, GO:0043015","GO:0003365, GO:0016324, GO:0031410, GO:0055037, GO:0016055, GO:0030036, GO:0005923, GO:0030334, GO:0005515, GO:0005886, GO:0035329, GO:0001525, GO:0005829, GO:0042802"
5,P33240,Q99728,CSTF2,BARD1,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation, biochemical, molecular sieving","10477523, 11257228, 20379136",3,"biogrid, iid-pred, intact, mint","exp, pred","GO:0071920, GO:0005847, GO:0016604, GO:0031124, GO:0000398, GO:0005654, GO:0003723, GO:0005515, GO:0006369, GO:0098789, GO:0006378, GO:0003729","GO:0036464, GO:0005737, GO:0043065, GO:0006303, GO:0031436, GO:0016567, GO:0000729, GO:0005654, GO:0043066, GO:0006260, GO:0070531, GO:0046872, GO:0016579, GO:0042803, GO:0016607, GO:0006281, GO:0007050, GO:0019900, GO:0001894, GO:0004842, GO:0042325, GO:0006974, GO:0031441, GO:0000151, GO:0046826, GO:0045732, GO:0085020, GO:0003723, GO:0005515, GO:0046982, GO:0005634"
6,P33240,Q99728,CSTF2,BARD1,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation, biochemical, molecular sieving","10477523, 11257228, 20379136",3,"biogrid, iid-pred, intact, mint","exp, pred","GO:0071920, GO:0005847, GO:0016604, GO:0031124, GO:0000398, GO:0005654, GO:0003723, GO:0005515, GO:0006369, GO:0098789, GO:0006378, GO:0003729","GO:0036464, GO:0005737, GO:0043065, GO:0006303, GO:0031436, GO:0016567, GO:0000729, GO:0005654, GO:0043066, GO:0006260, GO:0070531, GO:0046872, GO:0016579, GO:0042803, GO:0016607, GO:0006281, GO:0007050, GO:0019900, GO:0001894, GO:0004842, GO:0042325, GO:0006974, GO:0031441, GO:0000151, GO:0046826, GO:0045732, GO:0085020, GO:0003723, GO:0005515, GO:0046982, GO:0005634"
8,P61326,Q96Q15,MAGOH,SMG1,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation, pull down","16452507, 19417104, 20371770",3,"biogrid, iid-pred, innatedb, intact","exp, pred","GO:0005737, GO:0016607, GO:0035145, GO:0000184, GO:0000381, GO:0031124, GO:0005634, GO:0000398, GO:0006405, GO:0005654, GO:0003723, GO:0005515, GO:0006417, GO:0071013, GO:0008380, GO:0006406","GO:0005737, GO:0005654, GO:0000184, GO:0005829, GO:0006281, GO:0032204, GO:0005634, GO:0016301, GO:0042162, GO:0005524, GO:0006974, GO:0004674, GO:0018105, GO:0003723, GO:0005515, GO:0046854, GO:2001020, GO:0004672, GO:0046872, GO:0046777, GO:0006406"
10,Q13526,Q15233,PIN1,NONO,"pull down, two hybrid, two hybrid array, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16055720, 16189514, 25416956",3,"biogrid, hprd, i2d, iid-pred, intact","exp, pred","GO:0050808, GO:0090263, GO:0030496, GO:0032794, GO:0050821, GO:0042177, GO:0043524, GO:0043525, GO:0007049, GO:0005737, GO:0032091, GO:0000413, GO:0043547, GO:0031434, GO:0005634, GO:0005739, GO:0030512, GO:0005654, GO:0003774, GO:0046785, GO:0003755, GO:0032465, GO:1901796, GO:0007088, GO:0010468, GO:0016607, GO:0043005, GO:0030182, GO:0032092, GO:0008013, GO:0050815, GO:0050816, GO:0032480, GO:0061051, GO:0035307, GO:1900180, GO:0051443, GO:0005829, GO:0051219, GO:0060393, GO:0045944, GO:0005515, GO:2000146, GO:0001932, GO:0070373, GO:0001934","GO:0002218, GO:0090575, GO:0003676, GO:0070888, GO:0016607, GO:0005730, GO:0005634, GO:0016020, GO:0005654, GO:0042802, GO:0016363, GO:0008380, GO:0000981, GO:0000980, GO:0007623, GO:0042382, GO:0006281, GO:0045087, GO:0006974, GO:0042752, GO:0045892, GO:0006310, GO:0006351, GO:0000398, GO:0006355, GO:0006357, GO:0000976, GO:0003723, GO:0005515, GO:0003682, GO:1903377, GO:0006397"
12,Q8N5I9,Q9Y265,C12orf45,RUVBL1,affinity chromatography technology,"17643375, 28514442, 28561026",3,biogrid,exp,,"GO:0034080, GO:0090263, GO:0017025, GO:0031011, GO:1904874, GO:0035267, GO:0016887, GO:0003678, GO:0007049, GO:0001094, GO:0070062, GO:0005634, GO:0016020, GO:0003713, GO:0005815, GO:0005654, GO:1904837, GO:0016573, GO:0043141, GO:0016363, GO:0016579, GO:0071339, GO:0005524, GO:1903508, GO:0043967, GO:0043968, GO:0004003, GO:0032508, GO:0006974, GO:0045296, GO:0007283, GO:0043531, GO:0006281, GO:0006310, GO:0000492, GO:0006338, GO:0051117, GO:0051301, GO:0005829, GO:1990904, GO:0097255, GO:0000812, GO:0006357, GO:0006351, GO:0005515, GO:0040008"
14,P09874,P10144,PARP1,GZMB,protease assay,"12745270, 16798735, 9586635",3,"bci, hprd, iid-pred, innatedb","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0019835, GO:0004252, GO:0042267, GO:0043231, GO:0005634, GO:0016020, GO:0005739, GO:0005737, GO:1900740, GO:0001772, GO:0005515, GO:0006955, GO:0006508, GO:0008626, GO:0005829, GO:0006915, GO:0008236"
