 PF04076.13 (BOF);score;color
BRCA2;16.74;black
C17ORF53;19.6;black
MCM10;16.24;black
NABP1;37.71;black
NABP2;36.87;black
POLA2;19.57;black
POLD2;27.6;black
POLE2;72.66;black
POT1;27.24;black
RADX;28.33;black
RMI1;26.44;black
RMI2;44.88;black
RPA1;27.84;black
RPA2;32.72;black
RPA3;35.2;black
FAM35A;20.81;black
SPATA22;30.25;black
STN1;52.44;black
TDRD3;25.38;black
