WSD;score;color
BAZ1A;220.85;black
BAZ1B;205.07;black
BAZ2A;182.78;black
BPTF;190.3;black
BAZ2B;170.95;black
CECR2;113.04;black
RSF1;98.62;black
KIAA0226;72.56;black
