NNCH;score;color
IFT81;85.27;black
NDC80;86.71;black
CLUAP1;66.39;black
CCDC93;65.86;black
CCDC22;67.31;black
IFT57;46.33;black
CEP44;41.22;black
FAM98A;42.95;black
FAM98C;35.1;black
NUF2;36.4;black
C14ORF166;37.59;black
HAUS6;38.58;black
HAUS7;30.43;black
TEDC1;32.44;black
HAUS3;26.42;black
