MIS18/Yippee;score;color
MIS18A;200.05;black
MIS18B;203.9;black
Cereblon;189.88;black
YPEL2;88.79;black
YPEL5;88.8;black
YPEL1;87.8;black
YPEL3;87.08;black
YPEL4;87.13;black
MSRB3;47.99;black
MSRB2;47.6;black
MSRB1;42.17;black
FAM72C;39.34;black
FAM72A;39.29;black
FAM72D;39.07;black
FAM72B;39.48;black
DUSP12;42.3;black
