ERCC4 domain;score;color
C1ORF146;19.53;red
EME1;55.69;black
EME2;45.08;black
ERCC1;28.8;black
FAAP24;29.41;black
FANCM;130.16;black
MUS81;137.33;black
SHOC1;123.18;red
XPF;110.99;black
